Input_Signal_uV,Input_Signal_mV,Required_Gain,Required_Gain_dB,GBW_Limit_Hz,Slew_Rate_Limit_Hz,Output_Swing_OK,Overall_Feasible
20,0.02,250000,107.958800173441,40,381971.863420549,0,0
23.2192498421648,0.0232192498421648,215338.567524274,106.662436394234,46.4384996843296,381971.863420549,0,0
26.9566781616436,0.0269566781616436,185482.794653625,105.366072615028,53.9133563232871,381971.863420549,0,0
31.2956922575015,0.0312956922575015,159766.397204443,104.069708835822,62.591384515003,381971.863420549,0,0
36.3331248755215,0.0363331248755215,137615.468450076,102.773345056615,72.6662497510431,381971.863420549,0,0
42.1813952015654,0.0421813952015654,118535.671380885,101.476981277409,84.3627904031308,381971.863420549,0,0
48.971017693812,0.048971017693812,102101.206702752,100.180617498202,97.942035387624,381971.863420549,0,0
56.8535147428846,0.0568535147428846,87945.3103754815,98.884253718996,113.707029485769,381971.863420549,0,0
66.0047981610119,0.0660047981610119,75752.0686269355,97.5878899397895,132.009596322024,381971.863420549,0,0
76.6290949641099,0.0766290949641099,65249.3677804992,96.2915261605831,153.25818992822,381971.863420549,0,0
88.9635050575321,0.0889635050575321,56202.8215588688,94.9951623813767,177.927010115064,381971.863420549,0,0
103.283292538277,0.103283292538277,48410.5403412368,93.6987986021703,206.566585076553,381971.863420549,0,0
119.908028698382,0.119908028698382,41698.6256406321,92.4024348229639,239.816057396764,381971.863420549,0,0
139.20872382146,0.13920872382146,35917.2892527387,91.1060710437575,278.41744764292,381971.863420549,0,0
161.61610693097,0.16161610693097,30937.510468159,89.8097072645511,323.23221386194,381971.863420549,0,0
187.630238267411,0.187630238267411,26648.1567479224,88.5133434853447,375.260476534822,381971.863420549,0,0
217.831669013797,0.217831669013797,22953.5036050397,87.2169797061383,435.663338027593,381971.863420549,0,0
252.894397318355,0.252894397318355,19771.0983438901,85.920615926932,505.788794636709,381971.863420549,0,0
293.600909750929,0.293600909750929,17029.9199830193,84.6242521477255,587.201819501857,381971.863420549,0,0
340.859643869685,0.340859643869685,14668.7942967856,83.3278883685192,681.71928773937,381971.863420549,0,0
395.725261606077,0.395725261606077,12635.0286047122,82.0315245893127,791.450523212153,381971.863420549,0,0
459.422185904376,0.459422185904376,10883.2358414678,80.7351608101064,918.844371808753,381971.863420549,0,0
533.37192587736,0.53337192587736,9374.32166452207,79.4387970308999,1066.74385175472,381971.863420549,0,0
619.224800287152,0.619224800287152,8074.61199499981,78.1424332516935,1238.4496005743,381971.863420549,0,0
718.8967673166,0.7188967673166,6955.10152127032,76.8460694724871,1437.7935346332,381971.863420549,0,0
834.612182552439,0.834612182552439,5990.806394305,75.5497056932807,1669.22436510488,381971.863420549,0,0
968.953439399977,0.968953439399977,5160.2066690596,74.2533419140743,1937.90687879995,381971.863420549,0,0
1124.91859974265,1.12491859974265,4444.766048978,72.9569781348679,2249.8371994853,381971.863420549,0,0
1305.98830097614,1.30598830097614,3828.5182158698,71.6606143556615,2611.97660195228,381971.863420549,0,0
1516.20343256547,1.51620343256547,3297.71051338397,70.3642505764551,3032.40686513093,381971.863420549,0,0
1760.25531561427,1.76025531561427,2840.49703224737,69.0678867972487,3520.51063122854,381971.863420549,0,0
2043.59039796232,2.04359039796232,2446.6742479244,67.7715230180423,4087.18079592465,381971.863420549,0,0
2372.53180126681,2.37253180126681,2107.45331098629,66.4751592388359,4745.06360253362,381971.863420549,0,0
2754.42043260477,2.75442043260477,1815.2639084483,65.1787954596295,5508.84086520954,381971.863420549,0,0
3197.77880975069,3.19777880975069,1563.58531889509,63.8824316804231,6395.55761950138,381971.863420549,0,0
3712.50125617909,3.71250125617909,1346.80089109142,62.5860679012167,7425.00251235817,381971.863420549,0,0
4310.07471032865,4.31007471032865,1160.07269851217,61.2897041220103,8620.1494206573,381971.863420549,0,0
5003.83507687585,5.00383507687585,999.233572486516,59.9933403428039,10007.6701537517,381971.863420549,0,0
5809.26484094842,5.80926484094842,860.694104485637,58.6969765635975,11618.5296818968,381971.863420549,0,0
6744.33858706426,6.74433858706426,741.3625421461,57.4006127843911,13488.6771741285,381971.863420549,0,0
7829.92413365989,7.82992413365989,638.575791367582,56.1042490051847,15659.8482673198,381971.863420549,0,0
9090.24823523225,9.09024823523225,550.0399846751,54.8078852259783,18180.4964704645,381971.863420549,0,0
10553.4372450578,10.5534372450578,473.779289524039,53.5115214467719,21106.8744901155,381971.863420549,0,0
12252.1448043302,12.2521448043302,408.091814115099,52.2151576675655,24504.2896086604,381971.863420549,0,0
14224.2805657062,14.2242805657062,351.511626679711,50.9187938883591,28448.5611314125,381971.863420549,0,0
16513.8562140091,16.5138562140091,302.776040629346,49.6224301091527,33027.7124280183,381971.863420549,0,0
19171.9676645332,19.1719676645332,260.797435479179,48.3260663299463,38343.9353290664,381971.863420549,0,0
22257.9353584351,22.2579353584351,224.638984680363,47.0297025507399,44515.8707168701,381971.863420549,0,0
25840.6281029129,25.8406281029129,193.493748684707,45.7333387715335,51681.2562058258,381971.863420549,0,0
30000,30,166.666666666667,44.4369749923271,60000,381971.863420549,0,0
